Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,relationship_type_count,total_relationship_count,unique_relationship_types
daughters,Bennet,Elizabeth,Q0003,Q0001,1,1,1
daughters,Bennet,Lydia,Q0003,Q0008,1,1,1
brother,Darcy,Gardiner,Q0002,Q0014,1,1,1
brother,Gardiner,Bennet,Q0014,Q0003,1,1,1
