Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID
friend,Bingley,Bennet,N/A,Q0003
brother,Elizabeth,Bennet,Q0001,Q0003
daughter,Bennet,Bingley,Q0003,N/A
friends,Jane,Elizabeth,Q0005,Q0001
mother,Collins,Elizabeth,Q0012,Q0001
friend,Darcy,Denny,Q0002,N/A
couple,Collins,Wickham,Q0012,N/A
friends,Wickham,Elizabeth,N/A,Q0001
sister,Eliza,Bingley,N/A,N/A
friend,William,Bingley,Q0012,N/A
sister,"George
Wickham!--Your",Wickham,N/A,N/A
friend,Darcy,Darcy,Q0002,Q0002
brother,George Wickham,Eliza,N/A,N/A
son,Elizabeth,Darcy,Q0001,Q0002
sister,Darcy,Bingley,Q0002,N/A
sister,Jane,Wickham,Q0005,N/A
friend,Darcy,Wickham,Q0002,N/A
sister,Darcy,Wickham,Q0002,N/A
friend,Bingley,Elizabeth,N/A,Q0001
mother,Miss de Bourgh,Catherine,N/A,Q0007
sister,Elizabeth,Bingley,Q0001,N/A
mother,Bingley,Lucas,N/A,N/A
daughters,Jane,Jane,Q0005,Q0005
mother,Elizabeth,Darcy,Q0001,Q0002
friend,Darcy?--You,Elizabeth,N/A,Q0001
mother,Darcy,Bennet,Q0002,Q0003
father,Darcy,Mary,Q0002,Q0006
father,Elizabeth,Collins,Q0001,Q0012
wife,Bennet,Collins,Q0003,Q0012
sister,Bingley,Darcy,N/A,Q0002
friend,Collins,Lucas,Q0012,N/A
sister,Hurst,Bennet,N/A,Q0003
daughter,Bennet,Collins,Q0003,Q0012
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Collins,Q0001,Q0012
father,Catherine de Bourgh,Collins,Q0013,Q0012
friend,Elizabeth,Lady Catherine,Q0001,Q0013
daughter,Bennet;--she,Collins,N/A,Q0012
wife,Collins,Bennet,Q0012,Q0003
husband,Bennet,Bennet,Q0003,Q0003
father,Elizabeth,Collins,Q0001,Q0012
mother,Elizabeth,Bennet,Q0001,Q0003
mother,Elizabeth,Collins,Q0001,Q0012
husband,Bennet,Bennet,Q0003,Q0003
mother,Collins,Charlotte Lucas,Q0012,N/A
friend,Lucas,Lizzy,N/A,N/A
husband,Lizzy,Collins,N/A,Q0012
daughter,"Collins!""--",Bennet,Q0012,Q0003
mother,Elizabeth,Lucas,Q0001,N/A
father,Longbourn,Bennet,N/A,Q0003
sister,Elizabeth,Jane,Q0001,Q0005
brother,Caroline Bingley,Elizabeth,N/A,Q0001
friends,Jane,Bingley,Q0005,N/A
brother,Caroline,Charles,Q0010,Q0009
sister,Darcy,"Georgiana
Darcy",Q0002,N/A
sister,Louisa,Charles,N/A,Q0009
sister,Caroline,Bingley,Q0010,N/A
brother,Darcy,Miss de Bourgh,Q0002,N/A
brother,Bingley,Darcy,N/A,Q0002
sister,Caroline,Elizabeth,Q0010,Q0001
sister,Caroline,Jane,Q0010,Q0005
friend,Charlotte,Elizabeth,Q0017,Q0001
daughter,Collins,Lady Lucas,Q0012,N/A
wife,Collins,Collins,Q0012,Q0012
friend,Collins,Elizabeth,Q0012,Q0001
wife,Collins,Collins,Q0012,Q0012
mother,Elizabeth,William Lucas,Q0001,N/A
mother,Elizabeth,William,Q0001,Q0012
daughter,Lady Lucas,Bennet,N/A,Q0003
wife,Charlotte Lucas,Jane,N/A,Q0005
daughter,Bennet,Bennet,Q0003,Q0003
sister,Elizabeth,Bingley,Q0001,N/A
father,Collins,Lucas,Q0012,N/A
friend,Jane,Darcy,Q0005,Q0002
mother,Elizabeth,Bingley,Q0001,N/A
daughters,Longbourn,Bennet,N/A,Q0003
daughters,Bennet,Collins,Q0003,N/A
brother,Bingley,Jane,N/A,Q0005
brother,Caroline,Darcy,Q0010,Q0002
sister,Jane,Caroline,Q0005,Q0010
friends,Jane,Bingley,Q0005,N/A
sister,Jane,Jane,Q0005,Q0005
mother,Bennet,Elizabeth,Q0003,Q0001
sister,Bennet,Elizabeth,Q0003,Q0001
friend,Elizabeth,Darcy,Q0001,Q0002
brother,Jane,Elizabeth,Q0005,Q0001
daughter,Elizabeth,Jane,Q0001,Q0005
sister,Lizzy,Jane,N/A,Q0005
mother,Bennet,Wickham,Q0003,N/A
father,Collins,Bennet,N/A,Q0003
sister,Gardiner,Gardiner,Q0014,N/A
sister,Bennet,Jane,Q0003,Q0005
