Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID
husband,Bennet,Bennet,Q0003,Q0003
father,Elizabeth,Elizabeth,Q0001,Q0001
husband,Bennet,Bennet,Q0003,Q0003
husband,Bennet,Bennet,Q0003,Q0003
friend,Kitty,Lizzy,Q0007,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Darcy,Louisa,Q0002,N/A
sister,Caroline,Caroline,Q0010,Q0010
brother,Caroline,Caroline,Q0010,Q0010
brother,Bingley,Darcy,N/A,Q0002
brother,Bingley,Bingley,N/A,N/A
brother,Bingley,Darcy,N/A,Q0002
brother,Bingley,Bingley,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Collins,William,Q0012,Q0012
wife,Collins,William,Q0012,Q0012
friend,Mary,Elizabeth,Q0006,Q0001
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,William Lucas Lucas,Q0001,N/A
daughter,Lucas,Elizabeth,N/A,Q0001
mother,Elizabeth,William,Q0001,Q0012
wife,Bennet,Bennet,Q0003,Q0003
daughter,Bennet,Bennet,Q0003,Q0003
sister,Elizabeth,Elizabeth,Q0001,Q0001
friend,Meryton,Darcy,N/A,Q0002
mother,Darcy,Darcy,Q0002,Q0002
daughters,Longbourn,Bennet,N/A,Q0003
brother,Jane,Darcy,Q0005,Q0002
brother,Caroline,Darcy Caroline,Q0010,N/A
brother,Caroline,Caroline,Q0010,Q0010
sister,Caroline,Caroline,Q0010,Q0010
brother,Bingley,Jane,N/A,Q0005
brother,Bingley,Jane,N/A,Q0005
sister,Jane,Jane,Q0005,Q0005
mother,Jane,Jane,Q0005,Q0005
daughter,Elizabeth,Elizabeth,Q0001,Q0001
brother,Bennet,Darcy,Q0003,Q0002
wife,Collins,Bingley,Q0012,N/A
sister,Jane,Jane,Q0005,Q0005
friends,Elizabeth,Jane,Q0001,Q0005
brother,Bennet,Bennet,Q0003,Q0003
brother,Bennet,Philipses,Q0003,N/A
father,Darcy,Darcy,Q0002,Q0002
friends,Elizabeth,Elizabeth,Q0001,Q0001
sister,Jane,Jane,Q0005,Q0005
friend,Jane,Longbourn,Q0005,N/A
sister,Jane,Jane,Q0005,Q0005
brother,Caroline,Caroline,Q0010,Q0010
brother,Caroline,Darcy,Q0010,Q0002
brother,Elizabeth,Darcy,Q0001,Q0002
father,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Lucas,Maria,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Elizabeth,Q0001,Q0001
friend,Collins,Elizabeth,N/A,Q0001
friend,Elizabeth,Elizabeth,Q0001,Q0001
wife,Collins,Collins,N/A,N/A
sister,Bourgh,Maria,N/A,N/A
daughter,Catherine,Elizabeth,Q0007,Q0001
wife,William,William,Q0012,Q0012
father,Catherine,Lucas,Q0007,N/A
daughter,Lady Catherine's,Jenkinson,N/A,N/A
husband,Collins,Collins,N/A,N/A
daughter,Elizabeth,Elizabeth,Q0001,Q0001
son,Wickham,Elizabeth,N/A,Q0001
father,Lady,Catherine,N/A,Q0007
daughter,Catherine,Lady Catherine,Q0007,Q0013
daughter,Catherine,Lady Catherine,Q0007,Q0013
friend,Elizabeth,Elizabeth,Q0001,Q0001
friend,Collins,Elizabeth,Q0012,Q0001
friend,Collins,Elizabeth,Q0012,Q0001
son,Fitzwilliam,Fitzwilliam,N/A,N/A
friend,Collins,Collins,N/A,N/A
friends,Bingley,Bingley,N/A,N/A
friend,Darcy,Darcy,Q0002,Q0002
friend,Collins,Eliza,N/A,N/A
friend,Collins,Collins,N/A,N/A
friend,Fitzwilliam,Collins,N/A,N/A
brother,Fitzwilliam,Fitzwilliam,N/A,N/A
friend,Darcy,Bingley,Q0002,N/A
friend,Darcy,Darcy,Q0002,Q0002
mother,Fitzwilliam,Fitzwilliam,N/A,N/A
friend,Darcy,Fitzwilliam,Q0002,N/A
husband,Collins,Collins,N/A,Q0012
friend,Darcy,Darcy,Q0002,Q0002
father,Bingley,Bingley,N/A,N/A
brother,Bingley,Bingley,N/A,N/A
son,Wickham,Wickham,N/A,N/A
son,Wickham,Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
friend,Wickham,Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
brother,Georgiana,Younge,Q0016,N/A
sister,Wickham,Wickham,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
father,Darcy,Darcy,Q0002,Q0002
brother,Wickham,Wickham,N/A,N/A
sister,Wickham,Wickham,N/A,N/A
sister,Darcy,Charlotte,Q0002,Q0017
daughter,Lady Catherine's,Darcy,N/A,Q0002
friends,Lady Catherine,me!--They,Q0013,N/A
daughter,Darcy,Darcy,Q0002,Q0002
father,Catherine,Lady Catherine's,Q0007,N/A
friends,Collins,Elizabeth,Q0012,Q0001
sister,Elizabeth,Darcy,Q0001,Q0002
sister,Elizabeth,CHAPTER XVI,Q0001,N/A
daughter,Maria,Bennet,N/A,Q0003
father,Wickham,Meryton,N/A,N/A
sister,Jane,Jane,Q0005,Q0005
sister,Jane,Darcy,Q0005,Q0002
sister,Bennet,Darcy,Q0003,Q0002
sister,Darcy,Darcy,Q0002,Q0002
sister,Elizabeth,Elizabeth,Q0001,Q0001
friends,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Collinses,Q0001,N/A
mother,Bennets,Bennets,N/A,N/A
wife,Forster,Forster,N/A,N/A
sister,Forster,Lydia,N/A,Q0008
mother,Elizabeth,Lydia,Q0001,Q0008
father,Elizabeth,Elizabeth,Q0001,Q0001
father,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Elizabeth,Q0001,Q0001
sister,Lydia,Lydia,Q0008,Q0008
husband,Elizabeth,Elizabeth,Q0001,Q0001
husband,Elizabeth,Elizabeth,Q0001,Q0001
husband,Meryton,Elizabeth,N/A,Q0001
daughter,Bennet,Bennet,Q0003,Q0003
father,Elizabeth,Elizabeth,Q0001,Q0001
wife,Bennet,Bennet,Q0003,Q0003
father,Elizabeth,Elizabeth,Q0001,Q0001
husband,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Kitty,Q0001,Q0007
mother,Kitty,Kitty,Q0007,Q0007
mother,Lydia,Kitty,Q0008,Q0007
mother,Lydia,Lydia,Q0008,Q0008
sister,Lydia,Lydia,Q0008,Q0008
brother,Darcy,Gardiner,Q0002,Q0014
father,Darcy,Gardiner,Q0002,N/A
son,Darcy,Darcy,Q0002,Q0002
brother,Darcy,Elizabeth,Q0002,Q0001
brother,Elizabeth,Elizabeth,Q0001,Q0001
friends,Elizabeth,Elizabeth,Q0001,Q0001
brother,Elizabeth,Elizabeth,Q0001,Q0001
brother,Darcy,Darcy,Q0002,Q0002
sister,Darcy,Darcy,Q0002,Q0002
friends,Darcy,Darcy,Q0002,Q0002
sister,Darcy,Gardiner,Q0002,N/A
husband,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Elizabeth,Q0001,Q0001
son,Wickham,Wickham,N/A,N/A
brother,Darcy,Darcy,Q0002,Q0002
brother,Elizabeth,Darcy,Q0001,Q0002
sister,Wickham,Elizabeth,N/A,Q0001
friend,Elizabeth,Elizabeth,Q0001,Q0001
brother,Elizabeth,Elizabeth,Q0001,Q0001
brother,Elizabeth,Bingley,Q0001,N/A
brother,Wickham,Wickham,N/A,N/A
brother,Wickham,Elizabeth,N/A,Q0001
brother,Wickham,Wickham,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Jane,Jane,Q0005,Q0005
father,Lizzy,Forster,N/A,N/A
father,Jane,Lydia,Q0005,Q0008
father,Wickham,Wickham,N/A,N/A
mother,Jane,Jane,Q0005,Q0005
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Gardiner,Q0001,N/A
father,Lydia,Lydia,Q0008,Q0008
father,Lydia,Lydia,Q0008,Q0008
brother,Lydia,Lydia,Q0008,Q0008
sister,Mary,Mary,Q0006,Q0006
wife,Forster,Forster,N/A,N/A
sister,Elizabeth,Jane,Q0001,Q0005
wife,Gardiner,Gardiner,Q0014,Q0014
brother,Gardiner,Gardiner,Q0014,Q0014
father,Gardiner,Collins,Q0014,Q0012
daughter,Charlotte,Bennet,Q0017,Q0003
daughter,Bennet,Catherine Catherine,Q0003,N/A
brother,Gardiner,Gardiner,Q0014,Q0014
friend,Gardiner,Gardiner,N/A,N/A
daughters,Bennet,Elizabeth,Q0003,Q0001
father,Kitty,Lydia,Q0007,Q0008
mother,Jane Elizabeth's,Jane Elizabeth,N/A,N/A
mother,Bennet,Gardiner,Q0003,Q0014
sister,Elizabeth,Bennet,Q0001,Q0003
father,Elizabeth,Wickham,Q0001,N/A
sister,Wickham,Gardiner,N/A,Q0014
father,Lizzy,Gardiner,N/A,N/A
daughter,Lizzy,Lizzy,N/A,N/A
mother,Lizzy,Lizzy,N/A,N/A
sister,Hill,Hill,N/A,N/A
wife,Bennet,Bennet,Q0003,Q0003
brother,Bennet,Bennet,Q0003,Q0003
daughter,Wickham,Wickham,N/A,N/A
daughter,Wickham,Lydia,N/A,Q0008
daughter,Wickham,Wickham,N/A,N/A
brother,Wickham,Lydia,N/A,Q0008
husband,Meryton,Bennet,N/A,Q0003
husband,Bennet,Bennet,Q0003,Q0003
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Elizabeth,Q0001,Q0001
friends,Wickham,Wickham,N/A,N/A
daughters,Bennet,Gardiner,Q0003,Q0014
sister,Jane Elizabeth's,Bennet,N/A,Q0003
brother,Bennet,Bennet,Q0003,Q0003
brother,Wickham,Jane,N/A,Q0005
husband,Bennet,Bennet,Q0003,Q0003
mother,Bennet,Bennet,Q0003,Q0003
sister,Lydia,Lydia,Q0008,Q0008
mother,Elizabeth,Wickham,Q0001,N/A
mother,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Jane,Q0001,Q0005
sister,Gardiner,Wickham,Q0014,N/A
friend,Darcy,Darcy,Q0002,Q0002
friend,Darcy,Darcy,Q0002,Q0002
friend,Lydia,Lydia,Q0008,Q0008
friends,Lydia,Lydia,Q0008,Q0008
friend,Lydia,Wickham,Q0008,N/A
father,Darcy,Darcy,Q0002,Q0002
father,Darcy,Darcy,Q0002,Q0002
wife,Darcy,Darcy,Q0002,Q0002
sister,Elizabeth,Elizabeth,Q0001,Q0001
Brother,Wickham,Wickham,N/A,N/A
sister,Wickham,Elizabeth,N/A,Q0001
husband,Bennet,Bennet,Q0003,Q0003
daughter,Bennet,Bennet,Q0003,Q0003
sister,Bingley,Bennet,N/A,Q0003
sister,Elizabeth,Elizabeth,Q0001,Q0001
wife,Bingley,Bingley,N/A,N/A
husband,Long,Long,N/A,N/A
daughters,Bennet,Bennet,Q0003,Q0003
mother,Elizabeth,"Elizabeth looked,--she",Q0001,N/A
sister,Jane,Bingley,Q0005,N/A
mother,Elizabeth,Darcy,Q0001,Q0002
daughters,Bennet,Bennet,Q0003,Q0003
mother,Bennet,Bennet,Q0003,Q0003
friends,Bennet,Darcy,Q0003,Q0002
father,Bennet,Bennet,Q0003,Q0003
mother,Elizabeth,Bingley,Q0001,N/A
friends,Bingley,Bingley,N/A,N/A
mother,Elizabeth,Bennet,Q0001,Q0003
mother,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Darcy,Q0001,Q0002
friend,Bingley,Bingley,N/A,N/A
friend,Bingley,Bingley,N/A,N/A
daughter,Bennet,Bennet,Q0003,Q0003
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Elizabeth,Q0001,Q0001
sister,Elizabeth,Bingley,Q0001,N/A
mother,Jane,Kitty,Q0005,Q0007
sister,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Bennet,Jane,Q0003,Q0005
sister,Elizabeth,Jane,Q0001,Q0005
friend,Elizabeth,Jane,Q0001,Q0005
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Bennet,Bennet,Q0003,Q0003
mother,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Catherine,Catherine,Q0007,Q0007
friend,Darcy,Bingley,Q0002,N/A
sister,Elizabeth,Jane,Q0001,Q0005
sister,Bennet,Bennet,Q0003,Q0003
father,Elizabeth,Elizabeth,Q0001,Q0001
father,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Longbourn,Longbourn,N/A,N/A
father,Elizabeth,Elizabeth,Q0001,Q0001
friend,Longbourn,Elizabeth,N/A,Q0001
daughter,Bennet,Bingley,Q0003,N/A
sister,reproofs,Darcy,N/A,Q0002
friend,Darcy,Darcy,Q0002,Q0002
friend,Bingley,Bingley,N/A,N/A
friend,Bingley,Bingley,N/A,N/A
friend,Elizabeth,Lydia,Q0001,Q0008
mother,Elizabeth,Darcy,Q0001,Q0002
mother,Elizabeth,Bennet,Q0001,Q0003
father,Elizabeth,Bennet,Q0001,Q0003
father,Elizabeth,Lizzy,Q0001,N/A
father,Elizabeth,Darcy,Q0001,Q0002
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Darcy,Elizabeth,Q0002,Q0001
father,Elizabeth,Bennet,Q0001,Q0003
husband,Wickham,Jane,N/A,Q0005
wife,Elizabeth,Darcy,Q0001,Q0002
brother,Elizabeth,Longbourn,Q0001,N/A
friend,Catherine,Elizabeth,Q0007,Q0001
sister,Philips,Lucas,N/A,N/A
husband,Darcy,Darcy,Q0002,Q0002
daughter,Bennet,Bennet,Q0003,Q0003
mother,Jane,Meryton,Q0005,N/A
father,Lydia,Lydia,Q0008,Q0008
daughter,Mary,Lydia,Q0006,Q0008
father,Mary,Mary,Q0006,Q0006
wife,Darcy,Darcy,Q0002,Q0002
husband,Lydia,Bingley,Q0008,N/A
