Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,Mode,Source
cousin,Kent,Colonel Fitzwilliam,N/A,Q0014,sentence,main1
father,Charles Bingley,Charles Bingley,Q0004,Q0004,sentence,main1
sister,Charles Bingley,Sir William Lucas,Q0004,Q0019,sentence,main1
son,George Wickham,George Wickham,Q0010,Q0010,sentence,main1
father,George Wickham,George Wickham,Q0010,Q0010,sentence,main1
daughter,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,sentence,main1
sister,Charles Bingley,CHAPTER XVI,Q0004,N/A,sentence,main1
daughter,Maria,Mrs Bennet,N/A,Q0006,sentence,main1
sister,Jane Bennet,Fitzwilliam Darcy,Q0003,Q0001,sentence,main1
mother,Elizabeth Bennet,Lydia Bennet,Q0002,Q0007,sentence,main1
daughter,Elizabeth Bennet,Lydia Bennet,Q0002,Q0007,sentence,main1
mother,Lydia Bennet,Catherine Bennet,Q0007,Q0009,sentence,main1
niece,Mrs Gardiner,Elizabeth Bennet,Q0018,Q0002,sentence,main1
brother,Georgiana Darcy,Mr Gardiner,Q0015,Q0017,sentence,main1
aunt,Elizabeth Bennet,George Wickham,Q0002,Q0010,sentence,main1
sister,Fitzwilliam Darcy,Mrs Gardiner,Q0001,Q0018,sentence,main1
niece,Mrs Gardiner,Elizabeth Bennet,Q0018,Q0002,sentence,main1
son,George Wickham,Fitzwilliam Darcy,Q0010,Q0001,sentence,main1
brother,Georgiana Darcy,Elizabeth Bennet,Q0015,Q0002,sentence,main1
friend,Caroline Bingley,Elizabeth Bennet,Q0016,Q0002,sentence,main1
brother,Elizabeth Bennet,Elizabeth Bennet,Q0002,Q0002,sentence,main1
father,Jane Bennet,Lydia Bennet,Q0003,Q0007,sentence,main1
mother,Jane Bennet,Lydia Bennet,Q0003,Q0007,sentence,main1
niece,Mrs Gardiner,Lydia Bennet,Q0018,Q0007,sentence,main1
aunt,Jane Bennet,George Wickham,Q0003,Q0010,sentence,main1
sister,Elizabeth Bennet,Jane Bennet,Q0002,Q0003,sentence,main1
father,Mr Gardiner,William Collins,Q0017,Q0012,sentence,main1
daughter,Charlotte Lucas,Mrs Bennet,Q0011,Q0006,sentence,main1
mother,Elizabeth Bennet,Miss Bennet,Q0002,N/A,sentence,main1
sister,Elizabeth Bennet,Mr Gardiner,Q0002,Q0017,sentence,main1
mother,Lydia Bennet,Jane Bennet,Q0007,Q0003,sentence,main1
sister,Lydia Bennet,Jane Bennet,Q0007,Q0003,sentence,main1
sister,Mr Gardiner,George Wickham,Q0017,Q0010,sentence,main1
sister,George Wickham,Elizabeth Bennet,Q0010,Q0002,sentence,main1
mother,Elizabeth Bennet,Fitzwilliam Darcy,Q0002,Q0001,sentence,main1
mother,Charles Bingley,Elizabeth Bennet,Q0004,Q0002,sentence,main1
daughter,Mrs Bennet,Jane Bennet,Q0006,Q0003,sentence,main1
mother,Elizabeth Bennet,Catherine Bennet,Q0002,Q0009,sentence,main1
sister,Elizabeth Bennet,Jane Bennet,Q0002,Q0003,sentence,main1
friend,Elizabeth Bennet,Jane Bennet,Q0002,Q0003,sentence,main1
nephew,Miss Elizabeth Bennet,Fitzwilliam Darcy,N/A,Q0001,sentence,main1
nephew,Miss Elizabeth Bennet,Fitzwilliam Darcy,N/A,Q0001,sentence,main1
friend,Elizabeth Bennet,Charles Bingley,Q0002,Q0004,sentence,main1
sister,Charles Bingley,Jane Bennet,Q0004,Q0003,sentence,main1
cousin,Charlotte Lucas,Lydia Bennet,Q0011,Q0007,sentence,main1
aunt,Mrs Bennet,Charles Bingley,Q0006,Q0004,sentence,main1
daughter,Mrs Bennet,Charles Bingley,Q0006,Q0004,sentence,main1
friend,Charles Bingley,Charles Bingley,Q0004,Q0004,sentence,main1
husband,Charles Bingley,Charles Bingley,Q0004,Q0004,sentence,main1
father,Elizabeth Bennet,John Bennet,Q0002,Q0005,sentence,main1
husband,George Wickham,Jane Bennet,Q0010,Q0003,sentence,main1
wife,Elizabeth Bennet,Fitzwilliam Darcy,Q0002,Q0001,sentence,main1
wife,Elizabeth Bennet,Mrs Bennet,Q0002,Q0006,sentence,main1
sister,Mrs. Philips,Charles Bingley,N/A,Q0004,sentence,main1
daughter,Mary Bennet,Mrs Bennet,Q0008,Q0006,sentence,main1
husband,Lydia Bennet,Bingleys,Q0007,N/A,sentence,main1
nephew,Lady Catherine de Bourgh,Elizabeth Bennet,Q0013,Q0002,sentence,main1
sister,Elizabeth Bennet,Charles Bingley,Q0002,Q0004,100token,main2
sister,Mary Bennet,Mary Bennet,Q0008,Q0008,100token,main2
sister,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,100token,main2
sister,Charles Bingley,eldest,Q0004,N/A,100token,main2
friend,Jane Bennet,Jane Bennet,Q0003,Q0003,100token,main2
